org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.internal.SessionImpl$LobHelperImpl,45, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,45, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.internal.SessionImpl$LockRequestImpl,45, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.internal.SessionImpl$IdentifierLoadAccessImpl,45, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.internal.SessionImpl$MultiIdentifierLoadAccessImpl,45, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.internal.SessionImpl$NaturalIdLoadAccessImpl,45, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.internal.SessionImpl$SimpleNaturalIdLoadAccessImpl,45, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.internal.SessionImpl$ManagedFlushCheckerStandardImpl,45, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.NaturalIdLoadAccess,5, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.internal.StatelessSessionImpl,5, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.Session,9, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.Session$LockRequest,9, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.event.internal.DefaultResolveNaturalIdEventListener,6, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.persister.entity.AbstractEntityPersister,6, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.persister.entity.AbstractEntityPersister$StandardCacheEntryHelper,6, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.persister.entity.AbstractEntityPersister$ReferenceCacheEntryHelper,6, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.persister.entity.AbstractEntityPersister$StructuredCacheEntryHelper,6, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.persister.entity.AbstractEntityPersister$NoopCacheEntryHelper,6, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.persister.entity.AbstractEntityPersister$InclusionChecker,6, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.persister.entity.AbstractEntityPersister$CacheEntryHelper,6, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.persister.entity.EntityPersister,4, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.event.spi.ResolveNaturalIdEvent,4, LD
org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,org.hibernate.engine.internal.StatefulPersistenceContext,4, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.event.internal.DefaultAutoFlushEventListener,1, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.event.internal.DefaultFlushEventListener,1, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.engine.spi.Managed,1, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.engine.spi.ManagedComposite,1, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.bytecode.enhance.spi.EnhancementContext,1, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.bytecode.enhance.spi.Enhancer,2, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.engine.internal.EntityEntryContext,2, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.engine.spi.PersistenceContext,1, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.engine.spi.PersistenceContext$NaturalIdHelper,1, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.engine.internal.EntityEntryContext$EntityEntryCrossRefImpl,2, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.engine.internal.EntityEntryContext$EntityEntryCrossRef,2, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.engine.internal.EntityEntryContext$ImmutableManagedEntityHolder,2, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.engine.spi.PersistentAttributeInterceptable,1, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.engine.spi.PersistentAttributeInterceptor,1, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.engine.internal.EntityEntryContext$ManagedEntityImpl,2, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.stat.internal.SessionStatisticsImpl,1, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.tool.enhance.EnhancementTask,2, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.engine.internal.StatefulPersistenceContext,1, LD
org.hibernate.engine.spi.ManagedEntity,org.hibernate.event.internal.AbstractFlushingEventListener,1, LD
org.hibernate.dialect.ColumnAliasExtractor,org.hibernate.dialect.Dialect,1, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.engine.spi.ActionQueue,4, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.engine.spi.ActionQueue$AbstractTransactionCompletionProcessQueue,4, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.engine.spi.ActionQueue$BeforeTransactionCompletionProcessQueue,4, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.engine.spi.ActionQueue$AfterTransactionCompletionProcessQueue,4, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.engine.spi.ActionQueue$TransactionCompletionProcesses,4, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.engine.spi.ActionQueue$InsertActionSorter,4, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.engine.spi.ActionQueue$ListProvider,4, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.IdentifierLoadAccess,5, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.internal.SessionFactoryImpl$SessionBuilderImpl,4, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.internal.SessionImpl$LobHelperImpl,45, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.internal.SessionFactoryImpl$StatelessSessionBuilderImpl,4, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.internal.SessionImpl$LockRequestImpl,45, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.internal.SessionImpl$IdentifierLoadAccessImpl,45, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.internal.SessionImpl$MultiIdentifierLoadAccessImpl,45, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.internal.SessionImpl$BaseNaturalIdLoadAccessImpl,45, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.internal.SessionImpl$NaturalIdLoadAccessImpl,45, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.internal.SessionImpl$SimpleNaturalIdLoadAccessImpl,45, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.internal.SessionImpl$ManagedFlushCheckerStandardImpl,45, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.NaturalIdLoadAccess,5, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.internal.StatelessSessionImpl,5, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.Session,9, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.Session$LockRequest,9, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.event.internal.DefaultResolveNaturalIdEventListener,6, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.persister.entity.AbstractEntityPersister,6, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.persister.entity.AbstractEntityPersister$StandardCacheEntryHelper,6, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.persister.entity.AbstractEntityPersister$ReferenceCacheEntryHelper,6, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.persister.entity.AbstractEntityPersister$StructuredCacheEntryHelper,6, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.persister.entity.AbstractEntityPersister$NoopCacheEntryHelper,6, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.persister.entity.AbstractEntityPersister$InclusionChecker,6, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.persister.entity.AbstractEntityPersister$CacheEntryHelper,6, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.persister.entity.EntityPersister,4, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.event.spi.ResolveNaturalIdEvent,4, LD
org.hibernate.internal.SessionImpl$SharedSessionBuilderImpl,org.hibernate.engine.internal.StatefulPersistenceContext,4, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.AbstractPersistentCollection,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.AbstractPersistentCollection$IteratorProxy,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.AbstractPersistentCollection$ListIteratorProxy,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.AbstractPersistentCollection$SetProxy,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.AbstractPersistentCollection$ListProxy,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.AbstractPersistentCollection$AbstractValueDelayedOperation,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.AbstractPersistentCollection$LazyInitializationWork,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.AbstractPersistentCollection$DelayedOperation,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.AbstractPersistentCollection$ValueDelayedOperation,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentBag,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentBag$Clear,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentBag$SimpleAdd,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentList,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentList$Clear,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentList$SimpleAdd,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentList$AbstractListValueDelayedOperation,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentList$Add,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentList$Set,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentList$Remove,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentList$SimpleRemove,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentMap,3, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentMap$EntrySetProxy,3, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentMap$EntryIteratorProxy,3, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentMap$MapEntryProxy,3, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentMap$AbstractMapValueDelayedOperation,3, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentMap$Put,3, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentMap$Remove,3, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentSet,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentSet$Clear,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentSet$SimpleAdd,2, LD
org.hibernate.collection.internal.PersistentMap$Clear,org.hibernate.collection.internal.PersistentSet$SimpleRemove,2, LD
org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.dialect.lock.LockingStrategy,1, LD
org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.dialect.lock.LockingStrategyException,1, LD
org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.dialect.lock.OptimisticEntityLockException,1, LD
org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.dialect.lock.OptimisticLockingStrategy,1, LD
org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.OptimisticLockException,1, LD
org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.dialect.lock.PessimisticForceIncrementLockingStrategy,1, LD
org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.PessimisticLockException,1, LD
org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.dialect.lock.PessimisticReadUpdateLockingStrategy,1, LD
org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.dialect.lock.PessimisticEntityLockException,1, LD
org.hibernate.dialect.lock.OptimisticForceIncrementLockingStrategy,org.hibernate.dialect.lock.PessimisticReadSelectLockingStrategy,1, LD
